Species Tree Node	Duplications (all)	Duplications (50% support)
N0	870	120
N8	139	139
N3	357	31
Desulfovibrio vulgaris DP4	131	131
Desulfocapsa sulfexigens DSM 10523	141	141
N2	340	38
Geobacter sulfurreducens PCA	330	330
N9	105	51
N5	173	27
Desulforhopalus vacuolatus DSM 9700	261	261
Acidithiobacillus ferrooxidans YNTRS-40	383	383
N10	77	77
Desulfosediminicola ganghwensis IMCC35004	185	185
N4	87	87
N7	183	37
Desulfosediminicola flagellatus IMCC35005	307	307
N6	121	18
Desulfotalea psychrophila LSv54	135	135
Shewanella oneidensis MR-1	418	418
Desulfovibrio ferrophilus IS5	183	183
Desulfocapsa_06_corrosive	216	216
Desulfocapsa_13_biocide	205	205
N1	34	34
